Дата публикации;Видео;Фото;Текст;Опрос;клип;История;Просмотры;Лайки;Комментарии;репосты
01.04.2026;;1;;;;;;11;0;6
05.04.2026;;2;;;;;;2;0;6
10.04.2026;1;1;;;;;;7;0;0
17.04.2026;1;;;;;;;1;0;0
22.04.2026;1;;;;;;;2;0;0
23.04.2026;1;;;;;;;4;0;0
26.04.2026;1;;;;;;;3;0;0
06.05.2026;1;;;;;;;1;0;0
14.05.2026;1;;;;;;;2;0;0
15.05.2026;1;;;;;;;3;0;0
22.05.2026;1;;;;;;;1;0;0
29.05.2026;3;;;;;;;1 (за каждое видео);0;0
05.05.2026;1;;;;;;;4;0;0
06.06.2026;;3;;;;;;10;0;0
12.06.2026;1;;;;;;;1;0;0
13.06.2026;1;;;;;;;3;0;0
14.06.2026;1;;;;;;;2;0;0
16.06.2026;;;;;;1;;2;0;0
17.06.2026;1;;;;;;;6;2;0
26.06.2025;1;;;;;;;1;0;0
27.06.2026;1;;;;;;;5;0;0
28.06.2026;1;;;;;;;4;0;0
29.06.2026;1;;;;;;;5;0;0
;;;;;;;;;;
